batter,won,innings,wickets_fallen,bowling_team,venue,first_ball
MD Shanaka,0.0,1,5,Pakistan,Sheikh Zayed Stadium,68
MD Shanaka,0.0,1,4,Pakistan,Sheikh Zayed Stadium,105
MD Shanaka,1.0,1,4,Pakistan,Dubai International Cricket Stadium,47
MD Shanaka,0.0,1,3,South Africa,"R Premadasa Stadium, Colombo",47
MD Shanaka,0.0,1,4,South Africa,"R Premadasa Stadium, Colombo",58
MD Shanaka,0.0,1,5,South Africa,Sharjah Cricket Stadium,83
MD Shanaka,0.0,2,4,West Indies,Pallekele International Cricket Stadium,25
MD Shanaka,0.0,1,4,West Indies,Pallekele International Cricket Stadium,69
MD Shanaka,1.0,1,2,West Indies,"Zayed Cricket Stadium, Abu Dhabi",94
MD Shanaka,0.0,1,5,Zimbabwe,"R Premadasa Stadium, Colombo",108
MD Shanaka,1.0,2,6,Zimbabwe,"R Premadasa Stadium, Colombo",85
DM de Silva,1.0,2,1,Afghanistan,"Brisbane Cricket Ground, Woolloongabba, Brisbane",13
DM de Silva,0.0,2,2,England,"R.Premadasa Stadium, Khettarama",18
DM de Silva,0.0,1,5,India,Holkar Cricket Stadium,90
DM de Silva,0.0,2,4,India,Maharashtra Cricket Association Stadium,31
DM de Silva,0.0,2,1,India,"R Premadasa Stadium, Colombo",16
DM de Silva,1.0,2,3,India,"R Premadasa Stadium, Colombo",56
DM de Silva,1.0,2,2,India,"R Premadasa Stadium, Colombo",49
DM de Silva,0.0,2,1,India,"Wankhede Stadium, Mumbai",12
DM de Silva,0.0,2,2,India,"Saurashtra Cricket Association Stadium, Rajkot",34
DM de Silva,1.0,2,0,Ireland,"Bellerive Oval, Hobart",1
DM de Silva,0.0,2,4,New Zealand,Eden Park,60
DM de Silva,0.0,2,1,New Zealand,Sydney Cricket Ground,6
DM de Silva,1.0,2,2,Pakistan,Dubai International Cricket Stadium,9
DM de Silva,0.0,2,0,South Africa,SuperSport Park,1
DM de Silva,1.0,2,0,South Africa,New Wanderers Stadium,1
DM de Silva,1.0,2,2,South Africa,Newlands,32
DM de Silva,1.0,2,2,South Africa,"R.Premadasa Stadium, Khettarama",7
DM de Silva,-1.0,1,5,South Africa,Newlands,74
DM de Silva,0.0,2,5,South Africa,SuperSport Park,50
DM de Silva,0.0,2,0,South Africa,The Wanderers Stadium,1
DM de Silva,0.0,2,5,South Africa,"R Premadasa Stadium, Colombo",95
DM de Silva,1.0,1,1,Afghanistan,Rangiri Dambulla International Stadium,5
DM de Silva,1.0,1,1,Afghanistan,Rangiri Dambulla International Stadium,24
DM de Silva,0.0,2,1,Australia,Pallekele International Cricket Stadium,6
DM de Silva,0.0,1,1,Australia,R Premadasa Stadium,9
DM de Silva,0.0,1,1,Australia,Perth Stadium,12
DM de Silva,1.0,1,0,Bangladesh,Sylhet International Cricket Stadium,1
DM de Silva,0.0,1,3,England,"Sophia Gardens, Cardiff",48
DM de Silva,0.0,1,1,England,Sydney Cricket Ground,25
DM de Silva,1.0,1,3,India,"Maharashtra Cricket Association Stadium, Pune",70
DM de Silva,-1.0,1,2,New Zealand,"Eden Park, Auckland",21
DM de Silva,0.0,1,2,New Zealand,"University Oval, Dunedin",23
DM de Silva,0.0,1,2,New Zealand,"John Davies Oval, Queenstown",84
DM de Silva,0.0,2,1,Pakistan,R Premadasa Stadium,4
DM de Silva,0.0,1,2,Pakistan,R Premadasa Stadium,25
DM de Silva,1.0,1,1,Pakistan,Dubai International Cricket Stadium,4
DM de Silva,0.0,1,2,South Africa,"R Premadasa Stadium, Colombo",31
DM de Silva,0.0,1,1,South Africa,"R Premadasa Stadium, Colombo",12
DM de Silva,1.0,2,1,Zimbabwe,"R Premadasa Stadium, Colombo",47
M Theekshana,-1.0,2,8,Australia,Sydney Cricket Ground,118
M Theekshana,1.0,2,7,Bangladesh,Dubai International Cricket Stadium,108
M Theekshana,0.0,2,8,England,Sharjah Cricket Stadium,109
M Theekshana,0.0,2,7,India,"Wankhede Stadium, Mumbai",101
M Theekshana,0.0,2,7,India,"Saurashtra Cricket Association Stadium, Rajkot",88
M Theekshana,0.0,2,7,New Zealand,Sydney Cricket Ground,71
M Theekshana,0.0,1,8,Afghanistan,Dubai International Cricket Stadium,75
M Theekshana,1.0,1,7,Afghanistan,Rangiri Dambulla International Stadium,101
M Theekshana,0.0,1,7,Australia,Melbourne Cricket Ground,110
M Theekshana,0.0,1,8,Australia,"R Premadasa Stadium, Colombo",110
M Theekshana,0.0,1,8,Australia,"R Premadasa Stadium, Colombo",117
M Theekshana,0.0,1,8,England,Sydney Cricket Ground,120
M Theekshana,0.0,1,6,New Zealand,"University Oval, Dunedin",101
M Theekshana,0.0,1,6,New Zealand,"John Davies Oval, Queenstown",118
M Theekshana,0.0,1,8,South Africa,"R Premadasa Stadium, Colombo",102
M Theekshana,0.0,1,8,South Africa,Sharjah Cricket Stadium,113
PVD Chameera,0.0,2,7,Australia,Sydney Cricket Ground,95
PVD Chameera,-1.0,2,7,Australia,Sydney Cricket Ground,114
PVD Chameera,0.0,2,8,Bangladesh,Shere Bangla National Stadium,118
PVD Chameera,0.0,2,9,England,"The Rose Bowl, Southampton",107
PVD Chameera,0.0,2,7,England,Sharjah Cricket Stadium,105
PVD Chameera,0.0,2,8,India,JSCA International Stadium Complex,106
PVD Chameera,0.0,1,8,India,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,93
PVD Chameera,0.0,1,8,India,Shere Bangla National Stadium,113
PVD Chameera,0.0,2,7,India,Barabati Stadium,77
PVD Chameera,0.0,2,7,India,Holkar Cricket Stadium,93
PVD Chameera,0.0,2,8,India,"R Premadasa Stadium, Colombo",107
PVD Chameera,0.0,2,6,India,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",95
PVD Chameera,0.0,1,6,Australia,"Manuka Oval, Canberra",118
PVD Chameera,0.0,1,6,Australia,Melbourne Cricket Ground,106
PVD Chameera,0.0,1,7,Australia,"R Premadasa Stadium, Colombo",98
PVD Chameera,0.0,1,8,Australia,"R Premadasa Stadium, Colombo",116
PVD Chameera,0.0,1,9,India,"R.Premadasa Stadium, Khettarama",113
PVD Chameera,1.0,1,7,Ireland,"Zayed Cricket Stadium, Abu Dhabi",118
PVD Chameera,0.0,1,7,South Africa,"R Premadasa Stadium, Colombo",94
PVD Chameera,0.0,1,8,South Africa,"R Premadasa Stadium, Colombo",111
PVD Chameera,0.0,1,7,South Africa,Sharjah Cricket Stadium,111
PVD Chameera,0.0,2,9,West Indies,R Premadasa Stadium,114
PVD Chameera,0.0,1,9,West Indies,M Chinnaswamy Stadium,120
PVD Chameera,0.0,1,8,West Indies,"Coolidge Cricket Ground, Antigua",118
PVD Chameera,1.0,2,7,Zimbabwe,"R Premadasa Stadium, Colombo",119
N Thushara,0.0,2,9,Afghanistan,Zhejiang University of Technology Cricket Field,105
N Thushara,0.0,1,9,Australia,"R Premadasa Stadium, Colombo",112
N Thushara,0.0,1,9,Australia,"R Premadasa Stadium, Colombo",119
M Pathirana,0.0,1,8,Afghanistan,Dubai International Cricket Stadium,76
M Pathirana,1.0,1,9,Afghanistan,Rangiri Dambulla International Stadium,110
D Madushanka,0.0,2,10,India,"Wankhede Stadium, Mumbai",120
D Madushanka,0.0,2,9,India,"Saurashtra Cricket Association Stadium, Rajkot",98
D Madushanka,0.0,1,9,Afghanistan,Dubai International Cricket Stadium,91
D Madushanka,0.0,1,9,New Zealand,"University Oval, Dunedin",113
